author,comment,like_count
@thbestfb,ah be baskanim,0
@MelihHorata,Büyük başkannn,0
@MelihHorata,Büyük başkannnbb,0
@ogunuzunkaya8016,2024 ve 0 kupa 😀,0
@sarikirmizi2621,Bir gs olarak dedim bunlar en son nasıl kutlamıslsr,0
@eyupensari720,🤣🤣🤣🤣🤣🤣gürülti teşkale🤣🤣🤣,0
@Celo847,Rezillik,0
@ardatezcan4623,Bende 2024 den yazıyom çocukluğumu s... Z,0
@MA-hd4or,"bir galatasaray baskani asla boyle konusmaz. kiro takim, kiro baskan",2
@alicrk6196,Kral geri dönüyor burda buluşalim,0
@mesihbayar5261,"Az kaldı babanız geliyor,an.nızı tersten göreceksiniz,Cem gölbaşı köpeği çulsuz kalacak",0
@MrBazlama,Bu sinir hastasi bunak iyi ki futboldan uzaklasti,0
@Seden-ub6ml,İşten biz böyle eğitidik aziz başkanımdan sonra küfür edemedik zaten ;),0
@suhagursoy1945,"Ali Koç'a asla lafım yok ama bu ligte böyle bir adamın olması gerekiyor. Efendilik yaramıyor bu ülkede, sert olacaksın.",0
@sametaltntas2717,Türk futbolunun en efsane büyük başkanı,0
@lolyay1442,Adamsın,0
@Erhan-ln6cj,Yoktan yere alex.gibi birini yediniz faydası olmicakmis nankörlük hep aykutun yuzunden,0
@yusufdogan355,"Aziz Yıldırım beter ol yok yok betev ol pavalı köpeklev 😂😂 zamanında canımızı yaktınız beter olun şampiyon Trabzon 
Ağlama cik cik spor ağlama aziz😂😂",0
@sdntkalat,Alexi gondermesini elestirebilirler ama orasi yeri degil okadar adamin emegiyle sampiyonluk yaşanmışken alexi konusmamalari lazim,3
@SERDAR_T,sonuna kadar Ali koc mk. istersek 10 yil daha olamayalim sonuna kadar ali koc nokta!,0
@harunbaran9795,ne başkandı ama…,0
@lonely.cat1907,"Aziz başkan, büyük başkan💙💛💙💛💙💛💙💛💙💛💙",0
@ufuk.avcii41,Hep bi atar sjdjdjdj adam sampiyonluk gunu bile atar yapiyor 😊😊😊😂😂,1
@elvinmusic1794,Acaba Ali Koç bağıran o insanlar şimdi utanıyormu?,0
@LovinglyFoodie,Adamlar şampiyonluğu bile kutlayamıyorlar amk 😂😂😂😂😂😂,1
@sinanerturk1686,Şunu yapabilecek başka bir başkan yoktur,6
@ibrahimergun1,2023 yılından yazıyorum halen kupanın sapını bile alamadık.,58
@emreyirik8789,"binlerce kişiye hakaret ediyor binlerce taraftar (psikopatı,manyağı,hapçısı,jiletçisi,balicisi,sapığı,çivicisi) zerre korku yok nasıl bir adam bu ya",1
@elifpeker8472,Hayyyy senin Allahına kurban,3
@mehmetdemirayak7145,O tribundeki hainler ozamanda vardi simdide var ozaman baskana simdi devlete onlar tirubun tereroristleri,0
@rabiaozer1761,AZİZ Başkansa Fenerbahçe şampiyon olur yoksa Fener şampiyonluğu unutsun,0
@Mbayaz29,"İşte fenerin kalibresi ,çapı 7 den 70 e bu kadar.Tek büyük GALATASARAY!💊",7
@theanddrej9335,Bu kavga bizi 10 yıl geriye götürdü...,50
@cagri1987,M.ö 1959 😁😁😁,1
@10alexdesouza10,PARALI KÖPEKLER,0
@DAMAR-5234,Görmemişin şampiyonluğu olmuş almaya başlıyor,0
@fatihkabasakal6688,FRIGHTENERS FİLMİNİ SEYREDERSENİZ 3 TEMMUZUN VE FB NİN NASIL BİR KUMPASA DÜŞÜRÜLDÜĞÜNÜ GÖRÜRSÜNÜZ. BOŞUNA 1 YIL HAPİS YATTI. AZİZ YILDIRIM.,2
@gurkanackgoz47,Helal olsun size tribün fener büyüktür eyvallah başgann ama taraftar olmasa ne fenerin büyüklüğü kalır ne adın sanın kusura bakma hem alexi kov hem taraftara paralı köpekler terbiyesiz de sonra ben fenerbahçe için hapis yattım de sorsan muhabbet yattın mmıınnaa koyim,0
@mert9059,"Adamların son şampiyonluk kutlaması da buydu amk.
Aziz'in ahı tutmuş :)",4
